[N]	[T]/[D]	
4,11	2,8814	
		
4,46	1,28	
		
11,9	2,4444	
		
4,59	2,2557	
		
2,86	3,1296	
		
1,08	6,0625	
		
0,418	4,6207	
		
0,458	4,0725	
		
0,0369	0,6116	
		
0,0863	1,2663	
		
0,455	1,7411	
		
0,000752	0,0766	
		
0,00679	0,1867	
		
1,76	3,4778	
		
0,0948	2,1106	
		
0,00622	0,1408	
		
0,000745	0,0945	
		
0,0000278	0,0076	
		
0,12	1,9577	
		
0,046	4,1026	
		
0,0104	0,7246	
		
0,00186	0,1351	
		
0,699	3,8103	
		
0,157	1,88	
		
0,0248	0,5268	
		
0,00172	0,3756	
		
0,000277	0,0411	
		
0,0000238	0,0078	
