Rec	Don	Tc	[D]	P+	[P+]	P-	[P-]	N	logN	[n]	log[n]	[Tc] teor	[T]real		Tc/Don	log T/D	a=T/P+P-	1+aNTh	1-ap/1+apth	aDR/1-aR	R/D	1/P-		R/D	D/N	Gamma
1,01E+10	1,50E+08	5,10E+08	7,08E-02	687000000,00	2,75E-01	9,59E+09	3,84E+00	1,03E+10	10,01	4,11E+00	0,613926348	-7,08E-02	2,04E-01		2,8814	0,46	1,94E-01	1,00000	-27235599999,0000		57,06214689	1,04E-10		57,06214689	1,73E-02	3304,45
	2,04E+08																									
8,80E+09	2,50E+08	3,20E+08	1,00E-01	570000000,00	2,28E-01	1,06E+10	4,23E+00	1,12E+10	10,05	4,46E+00	0,649334859	-1,00E-01	1,28E-01		1,2800	0,11	1,33E-01	1,00000	-30047199999,0000		43,6	9,45E-11		43,6	2,76E-02	1578,32
1,30E+10																										
1,10E+10	3,60E+08	8,80E+08	1,44E-01	1240000000,00	4,96E-01	2,85E+10	1,14E+01	2,98E+10	10,47	1,19E+01	1,075692918	-1,44E-01	3,52E-01		2,4444	0,39	6,22E-02	1,00000	-80996799999,0000		81,66666667	3,51E-11		81,66666667	3,17E-02	2577,04
4,78E+10																										
1,45E+10	1,70E+08	3,40E+08	8,76E-02	713000000,00	2,85E-01	1,08E+10	4,30E+00	1,15E+10	10,06	4,59E+00	0,661585544	-8,76E-02	1,98E-01		2,2557	0,35	1,61E-01	1,00000	-30547039999,0000		51,36986301	9,30E-11		51,36986301	1,49E-02	3441,08
8,00E+09	2,68E+08	6,48E+08																								
7,10E+09	5,40E+07	1,69E+08	2,16E-02	223000000,00	8,92E-02	6,93E+09	2,77E+00	7,15E+09	9,85	2,86E+00	0,456608927	-2,16E-02	6,76E-02		3,1296	0,50	2,73E-01	1,00000	-19684039999,0000		131,4814815	1,44E-10		131,4814815	7,55E-03	17418,86
																										
2,30E+09	9,60E+07	5,82E+08	3,84E-02	678000000,00	2,71E-01	2,03E+09	8,11E-01	2,71E+09	9,43	1,08E+00	0,034387784	-3,84E-02	2,33E-01		6,0625	0,78	1,06E+00	1,00000	-5759519999,0000		27,1875	4,93E-10		27,1875	4,01E-02	678,55
2,92E+09																										
1,03E+09	1,45E+07	6,70E+07	5,80E-03	81500000,00	3,26E-02	9,63E+08	3,85E-01	1,04E+09	9,02	4,18E-01	-0,379031564	-5,80E-03	2,68E-02		4,6207	0,66	2,13E+00	1,00000	-2734919999,0000		71,03448276	1,04E-09		71,03448276	1,39E-02	5116,93
																										
1,13E+09	1,38E+07	5,62E+07	5,52E-03	70000000,00	2,80E-02	1,07E+09	4,30E-01	1,14E+09	9,06	4,58E-01	-0,339589916	-5,52E-03	2,25E-02		4,0725	0,61	1,87E+00	1,00000	-3049591999,0000		81,88405797	9,31E-10		81,88405797	1,21E-02	6786,88
																										
9,10E+07	1,21E+06	7,40E+05	4,84E-04	1950000,00	7,80E-04	9,03E+07	3,61E-02	9,22E+07	7,96	3,69E-02	-1,433161987	-4,84E-04	2,96E-04		0,6116	-0,21	1,05E+01	1,00000	-256338399,0000		75,20661157	1,11E-08		75,20661157	1,31E-02	5731,24
						0,00																				
2,14E+08	1,69E+06	2,14E+06	6,76E-04	3830000,00	1,53E-03	2,12E+08	8,47E-02	2,16E+08	8,33	8,63E-02	-1,064109998	-6,76E-04	8,56E-04		1,2663	0,10	6,59E+00	1,00000	-601682399,0000		126,6272189	4,72E-09		126,6272189	7,84E-03	16161,08
																										
1,11E+09	2,82E+07	4,91E+07	1,13E-02	77300000,00	3,09E-02	1,06E+09	4,24E-01	1,14E+09	9,06	4,55E-01	-0,341721427	-1,13E-02	1,96E-02		1,7411	0,24	1,50E+00	1,00000	-3012955999,0000		39,36170213	9,43E-10		39,36170213	2,48E-02	1588,71
																										
1,86E+06	1,92E+04	1,70E+03	7,68E-06	20670,00	8,27E-06	1,86E+06	7,43E-04	1,88E+06	6,27	7,52E-04	-3,123967005	-7,68E-06	5,88E-07		0,0766	-1,12	9,57E+01	1,00000	-5278224,2000		96,875	5,38E-07		96,875	1,02E-02	9481,64
		1,24E+03																								
