[N]	[T]/[D]	
5,44	2,87	
		
4,74	4,48	
		
0,218	15,66	
		
0,0503	3,32	
		
0,00244	0,73	
		
0,00146	0,39	
		
0,000224	0,05	
		
0,0000576	0,01	
		
0,000366	0,1	
		
7,11	1,22	
		
2,91	3,02	
		
1,2	11,64	
		
1,14	7,93	
		
0,556	4,39	
		
0,288	9,44	
		
0,0802	8,46	
		
0,0559	5,29	
		
0,0284	4,13	
		
0,00284	0,52	
		
0,00235	0,73	
		
0,0013	0,07	
		
0,00056	0,13	
		
0,00032	0,05	
		
0,000064	0,03	
		
0,0000429	0,01	
		
8,5	3,67	
		
1,78	32,86	
		
0,397	6,28	
		
0,0383	2,43	
		
0,000406	0,13	
		
8,12	3,24	
		
1,29	11,4	
		
0,117	3,14	
		
0,0126	1,79	
		
0,00153	0,2	
		
0,000206	0,03	
		
5,44	2,87	
		
0,219	2	
		
0,0503	3,32	
		
0,00244	0,73	
		
0,00146	0,39	
		
0,000366	0,1	
