Rec	Don	Tc	[D]	P+	[P+]	P-	[P-]	N	logN	[n]	log[n]	Tc teor	Tc/Don	log T/D	[T]real		a=T/P+P-	1+aNTh	lna=lnT/D-lnR	a=exp(anterior)	1-ap/1+apth		aDR/1-aR	R:D			R/D	1/P-		R/D
1,05E+09	3,10E+08	8,90E+08	1,24E+00	1,20E+10	4,80E+00	1,60E+09	6,40E-01	1,36E+10	10,13	5,440000	0,7355989	-1,47E+00	2,870968	0,46	3,56E+00			338,45317	0,65185	4,48589	-5,2899			3,39E+00			3,387096774	6,25E-10		3,387096774
																														
1,10E+09	2,90E+07	1,30E+08	1,16E-01	1,59E+09	6,36E-01	1,03E+10	4,10E+00	1,18E+10	10,07	4,736000	0,675411694	-1,37E-01	4,482759	0,65	5,20E-01		1,99E-01	294,78276	0,03876	1,09336	-5,4230		-2,90E+08	3,98E+01			39,82758621	9,76E-11		39,82758621
1,21E+09																														
9,00E+07			0,00E+00	3,30E+08	1,32E-01	2,15E+08	8,60E-02	5,45E+08	8,74	0,217920	-0,66170291	0,00E+00	15,656566	1,19	1,24E-01		1,09E+01	14,51798	2,26020	182,05309	-4,4304		0,00E+00	2,65E+01			26,51515152	4,65E-09		26,51515152
1,50E+07	1,98E+06	3,10E+07																												
1,10E+07	2,20E+06	5,20E+06	8,80E-03	6,77E+07	2,71E-02	5,80E+07	2,32E-02	1,26E+08	8,10	0,050260	-1,298777516	-1,19E-02	3,322684	0,52	2,08E-02			4,11772	2,15600	143,21913	-2,8046			7,03E+00			7,028753994	1,72E-08		7,028753994
	9,30E+05																													
5,00E+05	1,10E+05	8,00E+04	4,40E-04	1,90E+06	7,60E-04	4,20E+06	1,68E-03	6,10E+06	6,79	0,002440	-2,612610174	6,84E-04	0,727273	-0,14	3,20E-04	2,14	2,51E+02	1,15136	2,63639	432,90043	0,3914			4,55E+00			4,545454545	2,38E-07		4,545454545
																														
3,20E+05	4,60E+04	1,80E+04	1,84E-04	6,40E+05	2,56E-04	3,02E+06	1,21E-03	3,66E+06	6,56	0,001464	-2,834458923	1,50E-04	0,391304	-0,41	7,20E-05	2,09	2,33E+02	1,09081	2,51045	323,92744	0,5505			6,96E+00			6,956521739	3,31E-07		6,956521739
																														
4,80E+04	8,00E+03	4,00E+02	3,20E-05	8,40E+04	3,36E-05	4,76E+05	1,90E-04	5,60E+05	5,75	0,000224	-3,649751982	2,60E-06	0,050000	-1,30	1,60E-06	1,63	2,50E+02	1,01390	2,41930	262,60504	0,9247		-8,00E+04	6,00E+00			6	2,10E-06		6
																														
1,20E+04	2,40E+03	2,00E+01	9,60E-06	2,42E+04	9,68E-06	1,20E+05	4,79E-05	1,44E+05	5,16	0,000058	-4,239577517	1,87E-07	0,008333	-2,08	8,00E-08	2,34	1,72E+02	1,00357	2,24030	173,90095	0,9809		-2,40E+04	5,00E+00			5	8,35E-06		5
																														
8,00E+04		1,10E+03	0,00E+00	1,25E+05	5,00E-05	7,89E+05	3,16E-04	9,14E+05	5,96	0,000366	-3,436993813	0,00E+00	0,096491	-1,02	4,40E-06	0,00	2,79E+02	1,02268	2,48535	305,73900	0,8762		0,00E+00	7,02E+00			7,01754386			7,01754386
	11400																													
1,71E+10			2,68E-01	1,49E+09	5,96E-01	1,63E+10	6,51E+00	1,78E+10	10,25	7,108000	0,851747419	-3,17E-01	1,223881	0,09	3,28E+00			441,92226	-0,72598	0,18794	-5,4324			2,55E+01			25,52238806	6,14E-11		25,52238806
	670000000	820000000																												
7,10E+09	2,30E+08	5,50E+08	7,28E-02	7,32E+08	2,93E-01	6,55E+09	2,62E+00	7,28E+09	9,86	2,912800	0,464310666	-8,63E-02	3,021978	0,48	2,20E+00			181,68632	0,06199	1,15343	-5,4089			3,90E+01			39,01098901	1,53E-10		39,01098901
	1,34E+08																													
3,10E+09	1,28E+08	1,49E+09	5,12E-02	1,62E+09	6,47E-01	1,39E+09	5,56E-01	3,01E+09	9,48	1,203200	0,080337823	-6,09E-02	11,640625	1,07	5,96E+00			75,63670	1,32090	20,93638	-5,2666			2,25E+01			22,5	7,19E-10		22,5
2,66E+09																														
3,10E+09	1,70E+08	1,30E+09	6,76E-02	1,51E+09	6,04E-01	1,33E+09	5,32E-01	2,84E+09	9,45	1,135600	0,055225384	-8,05E-02	7,928994	0,90	5,36E+00	-1,50E-02	1,67E+01	71,44335	1,17331	14,90412	-5,2587		-1,70E+09	1,58E+01			15,79881657	7,52E-10		15,79881657
2,24E+09	1,68E+08	1,38E+09																												
1,80E+09	7,60E+07	2,80E+08	3,04E-02	4,10E+08	1,64E-01	9,81E+08	3,92E-01	1,39E+09	9,14	0,556400	-0,254612879	-3,63E-02	4,394737	0,64	1,34E+00	-2,71E-02	2,08E+01	35,51451	1,04920	11,19964	-5,1938		-7,60E+08	1,73E+01			17,30263158	1,02E-09		17,30263158
8,30E+08		3,88E+08																												
6,90E+08	2,30E+07	2,70E+08	1,17E-02	3,05E+08	1,22E-01	4,14E+08	1,66E-01	7,19E+08	8,86	0,287700	-0,541060138	-1,41E-02	9,435897	0,97	1,10E+00	-0,01	5,46E+01	18,84656	1,75572	56,98006	-4,8763		-2,30E+08	2,36E+01			23,58974359			23,58974359
	3,55E+07	2,82E+08																												
	6,50E+06	5,50E+07	2,60E-03	6,15E+07	2,46E-02	1,39E+08	5,56E-02	2,01E+08	8,30	0,080200	-1,095825632	-3,25E-03	8,461538	0,93	2,20E-01			5,97495	2,18237	152,18594	-3,9989			2,98E+01			29,84615385	7,19E-09		29,84615385
1,94E+08																														
	4,80E+06	2,60E+07	1,92E-03	3,02E+07	1,21E-02	1,10E+08	4,38E-02	1,40E+08	8,15	0,055920	-1,252432837	-2,44E-03	5,291667	0,72	1,02E-01			4,46882	2,08172	120,70408	-3,7146			2,81E+01			28,125	9,12E-09		28,125
135000000		2,48E+07																												
