[N]	[T]/[D]
4,71	8,9655
	
1,16	1,9694
	
4,66	1,489
	
0,732	4,9394
	
0,988	4,2903
	
0,346	4,7412
	
0,128	3,2692
	
0,0332	2,6982
	
0,0336	1,0498
	
0,0196	1,2716
	
0,0101	0,5572
	
0,00534	0,408
	
0,00157	0,1646
	
0,00056	0,1529
	
0,00056	0,038
	
5,61	1,3696
	
7,72	1,4045
	
3,57	3,7384
	
1,53	5,8034
	
0,762	8,0198
	
0,389	6,4651
	
0,112	3,3841
	
0,0498	1,2959
	
0,0259	1,6486
	
0,00781	0,8805
	
0,00418	1
	
0,00125	0,2017
	
0,000521	0,0806
	
0,000229	0,0528
	
0,0000958	0,0193
	
0,0000278	0,0029
