Rec	Don	Tc	[D]	P+	[P+]	P-	[P-]	N	logN	[n]	log[n]	[Tc] teor	[T]real		Tc/Don	log T/D		a=T/P+P-	1+aNTh	1-ap/1+apth	aDR/1-aR	R/D	1/P-		R/D	D/N	Gamma	
1,30E+10			2,32E-01	5,78E+09	2,31E+00	6,00E+09	2,40E+00	1,18E+10	10,07	4,710000	0,673205282	-2,95E-01	2,080000		8,97E+00	9,50E-01		0,37500	164,41109	-3,69830		19,31034483	1,67E-10		19,31034483	4,46E-02	432,82	
9,40E+09	5,80E+08	5,20E+09																										
2,10E+09		9,00E+08	1,96E-01	1,46E+09	5,82E-01	1,44E+09	5,76E-01	2,90E+09	9,46	1,160000	0,063708559	-2,52E-01	0,386000		1,97E+00	2,90E-01		1,15000	41,15918	-3,52810		4,908163265	6,94E-10		4,908163265	2,33E-01	21,03	
2,71E+09	4,90E+08	1,03E+09																										
9,00E+09		2,50E+09	7,24E-01	4,51E+09	1,80E+00	7,16E+09	2,86E+00	1,17E+10	10,07	4,660000	0,668758542	-9,19E-01	1,080000		1,49E+00	1,70E-01		0,20900	162,74646	-3,70730		5,44198895	1,40E-10		5,44198895	2,01E-01	27,06	
1,07E+10	1,81E+09	2,89E+09																										
1,50E+09	3,30E+08	1,10E+09	1,32E-01	1,96E+09	7,84E-01	-1,30E+08	-5,20E-02	1,83E+09	9,26	0,732000	-0,135488919	-1,46E-01	0,652000		4,94E+00	0,69		-16,00000	26,38559	-9,67340	0,0000	4,545454545	-7,69E-09		4,545454545			
		2,16E+09																										
1,60E+09	3,10E+08	1,30E+09	1,24E-01	1,64E+09	6,56E-01	8,30E+08	3,32E-01	2,47E+09	9,39	0,988000	-0,005243055	-1,61E-01	0,532000		4,29E+00	0,63		2,44000	35,26362	-3,37480	0,0000	6,967741935	1,20E-09		6,967741935	1,62E-01	42,93	
2,72E+09		1,36E+09																										
7,80E+08	8,50E+07	3,50E+08	3,40E-02	4,88E+08	1,95E-01	3,77E+08	1,51E-01	8,65E+08	8,94	0,346000	-0,460923901	-4,54E-02	0,161000		4,74E+00	0,68		5,48000	12,99920	-2,99150		9,176470588	2,65E-09		9,176470588			
		4,56E+08																										
3,20E+08	6,50E+07	3,10E+08	2,60E-02	2,78E+08	1,11E-01	4,30E+07	1,72E-02	3,21E+08	8,51	0,128000	-0,892111975	-5,95E-02	0,085000		3,27E+00	0,51		44,50000	5,44595	-0,77650		3,930769231	2,33E-08		3,930769231	1,69E-01	23,28	
1,91E+08		1,15E+08																										
6,60E+07	1,20E+07	3,30E+07	6,76E-03	6,25E+07	2,50E-02	2,04E+07	8,16E-03	8,29E+07	7,92	0,033200	-1,479385478	-1,45E-01	0,018200		2,70E+00	0,43		89,40000	2,14998	-0,04870		3,905325444	4,90E-08		3,905325444	2,17E-01	18,02	
	2,18E+07	5,82E+07																										
7,10E+07	1,40E+07	1,37E+07	5,22E-03	2,68E+07	1,07E-02	5,73E+07	2,29E-02	8,41E+07	7,92	0,033600	-1,473402291	-9,94E-03	0,005480		1,05E+00	0,02		22,30000	2,16593	-1,10570	0,0000	5,440613027	1,75E-08		5,440613027	1,54E-01	35,44	
	1,21E+07																											
4,10E+07	8,10E+06	1,03E+07	3,24E-03	1,84E+07	7,36E-03	3,07E+07	1,23E-02	4,91E+07	7,69	0,019600	-1,706858517	-1,10E-02	0,004120		1,27E+00	0,10		45,60000	1,68111	-0,42010	0,0000	5,061728395	3,26E-08		5,061728395	1,65E-01	30,68	
						0,00E+00																						
3,30E+07	4,10E+06	1,85E+06	1,33E-03	5,17E+06	2,07E-03	2,01E+07	8,04E-03	2,53E+07	7,40	0,010100	-1,995334767	-3,75E-02	0,000740		5,57E-01	-0,25		44,50000	1,35054	-0,03670		6,611445783	4,98E-08		6,611445783	8,95E-02	73,88	
1,09E+07	2,54E+06																											
1,16E+07	1,74E+06	7,10E+05	6,96E-04	2,45E+06	9,80E-04	1,09E+07	4,36E-03	1,33E+07	7,13	0,005340	-2,272784179	1,16E-03	0,000284		4,08E-01	-3,90E-01		66,50000	1,18505	0,37600		6,666666667	9,18E-08		6,666666667	1,30E-01	51,11	
																												
3,20E+06	7,20E+05	1,20E+05	2,88E-04	8,39E+05	3,35E-04	3,08E+06	1,23E-03	3,92E+06	6,59	0,001570	-2,804653942	6,97E-05	0,000047	1,47	1,65E-01	-7,80E-01		115,00000	1,05438	0,80510		4,444444444	3,25E-07		4,444444444			
		1,17E+05																									78,91	
1,90E+06	1,54E+05	1,80E+04	6,16E-05	1,78E+05	7,10E-05	1,22E+06	4,89E-04	1,40E+06	6,15	0,000560	-3,252122294	5,30E-06	0,000009	0,56	1,53E-01	-8,20E-01		271,00000	1,01941	0,92080		8,084415584	8,19E-07		8,084415584			
5,90E+05		2,91E+04																										
1,50E+06	1,29E+05	4,90E+03	5,16E-05	1,34E+05	5,36E-05	1,27E+06	5,06E-04	1,40E+06	6,15	0,000560	-3,252122294	4,61E-06	0,000002	2,35	3,80E-02	-1,42		72,30000	1,01941	0,91800	0,0000	9,84496124	7,90E-07		9,84496124			
1,04E+06																												
1,30E+10	1,90E+09	2,10E+09	5,52E-01	3,27E+09	1,31E+00	1,08E+10	4,30E+00	1,40E+10	10,15	5,610000	0,749117662	-7,00E-01	0,756000		1,37E+00	0,14		0,13400	195,62289	-3,72310	0,0000	9,166666667	9,29E-11		9,166666667			
1,23E+10	8,60E+08	1,68E+09																										
1,70E+10	1,10E+09	1,50E+09	4,40E-01	2,65E+09	1,06E+00	1,67E+10	6,66E+00	1,93E+10	10,29	7,720000	0,8876173	-5,58E-01	0,618000		1,40E+00	0,15		0,08770	268,72785	-3,73420		16,54545455	6,00E-11		16,54545455	6,08E-02	272,25	
1,94E+10		1,59E+09																										
8,50E+09	4,38E+08	1,70E+09	1,73E-01	2,05E+09	8,19E-01	6,89E+09	2,75E+00	8,93E+09	9,95	3,570000	0,553008706	-2,19E-01	0,646000		3,74E+00	5,70E-01		0,28600	124,90389	-3,70550		19,67592593	1,45E-10		19,67592593	4,83E-02	407,09	
	4,26E+08	1,53E+09																										
3,61E+09	2,10E+08	1,21E+09	8,34E-02	1,42E+09	5,67E-01	2,40E+09	9,60E-01	3,82E+09	9,58	1,530000	0,183952786	-1,06E-01	0,484000		5,80E+00	7,60E-01		0,88900	53,96989	-3,61610		17,31414868	4,17E-10		17,31414868	5,46E-02	317,22	
	2,07E+08																											
2,20E+09	1,01E+08	8,10E+08	4,04E-02	9,11E+08	3,64E-01	9,95E+08	3,98E-01	1,91E+09	9,28	0,762000	-0,117817112	-5,22E-02	0,324000		8,02E+00	9,00E-01		2,23000	27,43986	-3,43350	0,0000	17,87128713	1,01E-09		17,87128713			
1,41E+09																												
9,30E+08	4,30E+07	2,20E+08	1,72E-02	3,21E+08	1,28E-01	6,52E+08	2,61E-01	9,73E+08	8,99	0,389000	-0,409827168	-2,24E-02	0,111000		6,47E+00	0,81		3,32000	14,49737	-3,28140	0,0000	21,62790698	1,53E-09		21,62790698	4,42E-02	489,39	
		3,36E+08																										
2,10E+08	1,51E+07	5,10E+07	6,04E-03	6,62E+07	2,65E-02	2,13E+08	8,52E-02	2,79E+08	8,45	0,112000	-0,952180172	-8,41E-03	0,020400		3,38E+00	0,53		9,06000	4,87165	-2,55200		17,48344371	4,70E-09		17,48344371			
3,18E+08		5,12E+07																										
1,16E+08	9,70E+06	1,10E+07	3,38E-03	1,94E+07	7,76E-03	1,05E+08	4,20E-02	1,24E+08	8,09	0,049800	-1,302945108	-5,24E-03	0,004380		1,30E+00	0,11		13,40000	2,72636	-1,81970		13,72781065	9,52E-09		13,72781065	6,72E-02	204,21	
	7,20E+06	1,09E+07																										
6,10E+07	3,70E+06	6,10E+06	1,48E-03	9,80E+06	3,92E-03	5,49E+07	2,20E-02	6,47E+07	7,81	0,025900	-1,587035728	-2,88E-03	0,002440		1,65E+00	0,22		28,30000	1,89751	-1,05560		16,48648649	1,82E-08		16,48648649	5,72E-02	288,29	
																												
1,60E+07	1,50E+06	1,10E+06	5,86E-04	2,76E+06	1,10E-03	1,68E+07	6,70E-03	1,95E+07	7,29	0,007810	-2,107571453	5,10E-03	0,000516		8,81E-01	-0,06		69,80000	1,27071	0,10310	0,0000	12,32081911	5,97E-08		12,32081911	8,37E-02	147,18	
2,01E+07	1,43E+06	1,48E+06																										
1,02E+07	2,70E+05	2,80E+05	9,70E-05	4,85E+05	1,94E-04	9,96E+06	3,98E-03	1,04E+07	7,02	0,004180	-2,379135525	1,32E-04	0,000097		1,00E+00	0,00		126,00000	1,14486	0,42290	0,0000	42,06185567	1,00E-07		42,06185567	2,32E-02	1816,03	
	2,15E+05	2,05E+05				0,00E+00																						
1,90E+06			9,32E-05	2,80E+05	1,12E-04	2,83E+06	1,13E-03	3,11E+06	6,49	0,001250	-2,904760888	2,04E-05	0,000019	1,09	2,02E-01	-0,70		148,00000	1,04318	0,82020		12,36051502	3,53E-07		12,36051502	1,23E-01	100,79	
3,86E+06	2,33E+05	4,70E+04																										
1,80E+06	1,10E+05	8,70E+03	4,32E-05	1,17E+05	4,67E-05	1,19E+06	4,75E-04	1,30E+06	6,11	0,000521	-3,282995593	3,60E-06	0,000003	1,04	8,06E-02	-1,09		157,00000	1,01808	0,92300		11,06481481	8,43E-07		11,06481481	5,65E-02	195,68	
5,90E+05	1,06E+05																											
5,30E+05	4,10E+04	2,20E+03	1,67E-05	4,39E+04	1,76E-05	5,28E+05	2,11E-04	5,72E+05	5,76	0,000229	-3,640771816	5,97E-07	0,000001	0,68	5,28E-02	-1,28		237,00000	1,00793	0,96540		12,70983213	1,89E-06		12,70983213			
	4,24E+04																										492,71	
3,10E+05	1,10E+04	2,10E+02	4,36E-06	1,11E+04	4,44E-06	2,28E+05	9,13E-05	2,39E+05	5,38	0,000096	-4,018815863	6,64E-08	0,000000	0,79	1,93E-02	-1,72E+00		207,00000	1,00332	0,98500		20,96330275	4,38E-06		20,96330275			
1,47E+05	1,08E+04																											
6,60E+04	3,40E+03	1,00E+01	1,36E-06	3,41E+03	1,36E-06	6,60E+04	2,64E-05	6,94E+04	4,84	0,000028	-4,556580538	5,94E-09	0,000000	1,48	2,90E-03	-2,53E+00		111,00000	1,00096	0,99570	0,0000	19,41176471	1,52E-05		19,41176471			
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
