	Bw (Rif) R388 -> Bw (Nx) pBAD33					TRAW + pMOB388											Bw (Rif) R388 -> Bw (Nx) pBAD33::repC							Bw (Rif) R388 -> Bw (Nx) pBAD33::korA																																							
0																																																															
5	0,0225	0,0076	0,0051	0,0084	0,0292	0,0083	0,0035	0,0124	0,0058	0,0061	0,0166	0,0028	0,0050				0,0026	0,0038	0,0036	0,0066	0,0301																																										
10																																																															
15																																																															
20																																																															
25																																																															
30	0,2261	0,0344	0,6356	0,4030	0,7862	0,3345	0,0552	0,0351	0,1316	0,0995	0,2151	0,1653	0,0688	0,0718	0,0719	0,0570	0,1280	0,0214	0,3006	0,5000	0,8261																																										
35																																																															
40																																																															
45																																																															
50																																																															
55																																																															
60	3,4844	0,7173	3,2877	1,8621	2,5526	0,1594	0,3381	0,3595	0,2737	0,1949	0,0900	0,1188	0,1748	0,0390	0,1498		0,2391	0,2094	0,6049	0,3559	0,9705																																										
65																																																															
70																																																															
75																																																															
80																																																															
85																																																															
90	6,5000	7,3874	5,0071	7,2765	8,3523	0,2174	0,6431	0,1446	0,1325	0,2918	0,3410	0,4080					0,2805	0,4957	0,7424	0,9245	1,0263																																										
95																																																															
100																																																															
105																																																															
110																																																															
115																																																															
120	9,5309	18,2540	24,8705	29,0598		0,2792	0,4186	0,2101	0,6933	0,1630	0,0767	0,2896	0,8158				0,9872	0,9241	1,1492	0,5149																																											
