	LBagar									LBagar pH 7.0								TBagar																												
R388	6,125	2,429	5,526	1,882						1,357	1,222	1,882	3,100	1,182	0,913	1,345	1,065	2,208	2,963	2,227	1,442	2,125	1,625	1,250	2,105																					
W-wire	0,098	0,127	0,084	0,636						0,293	0,155	0,292	0,130	0,122	0,208	0,185	0,206	0,283	0,150	0,143	0,064	0,156	0,042	0,119	0,047	0,056	0,070	0,150																		
pKM101	6,786	5,882	8,188	2,043	2,300	2,250	2,500	4,639	3,000	2,889	1,093	4,167	5,000	1,615	3,563	2,682	1,667	2,564	3,000	4,688	2,910	5,333	2,278	3,088	3,667	6,415	3,607	2,600																		
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
