TrwA	TrwB	TrwC	TrwABC	TrwD	TrwE	TrwF	TrwHG	TrwHGFED	TrwI	TrwJ	TrwK	TrwL	TrwM	TrwMKJI	KorA-TrwLMKJI	TrwN																																																														
0,2081	0,0749	3,6519	8,2639	1,2406	1,3219	1,0677	1,9486	12,9787	4,6668	0,3283	0,1573	1,7709	1,0089	1,6255	0,3344	1,7220																																																														
0,1945	3,6910	0,4370	0,0952	0,2743	0,2008	0,1913	0,6751	1,7457	2,3755	0,6329	2,2065	0,8078	2,1744	5,8696	1,3745	0,0464																																																														
1,6157	0,9239	0,5919	10,9568	3,4022	0,1808	0,2053	1,0868	7,0904	7,1033	1,6899	3,3377	1,9541	4,3151	1,3800	0,0457	2,8612																																																														
0,0339	0,0339	0,3656	1,5270	4,5922	1,2325	1,3995	0,6570	1,9173	0,1129	2,0510	1,6755	0,8323	0,0867	4,6002	1,2010	0,6932																																																														
0,9971	0,8880	0,8573	0,6543	3,1861	0,3156	4,4219	0,6233	1,2059	2,4137	1,6898	1,0120	0,7587	0,5120	0,5383	0,3258	0,0315																																																														
0,2957	9,2288	1,5404	8,7261	0,6662	2,2358	2,9375	1,0618	1,0999	0,6126	1,6596	0,7458	1,4369	0,8679	0,8826	0,1708	0,7997																																																														
1,1319	1,2594	0,6278	0,5955	0,6724	0,5401	0,1679	2,1536	1,6322	0,6277	1,2813	3,8996	1,4340	3,5498	1,6857	0,5615	5,5300																																																														
5,7095	0,3195	0,6037	2,1252	4,2368	0,0205	0,0939	0,4519	0,1360	10,5275	0,9940	14,1647	0,8832	0,5295	10,7739	3,0247	1,7365																																																														
0,2843	1,2041	0,3938	0,7975	0,6292	5,4744	3,8703	0,3399	0,5516	0,9469	3,1487	0,4143	0,9690	0,1708	0,1759	0,6153	0,4874																																																														
2,6191	9,4332	1,0750	4,1270	1,3438	0,2751	0,4607	1,4018	0,0856	0,2146	2,6538	0,2925	1,1165	0,0775	3,1712	0,5719	0,3155																																																														
0,7410	0,4778	1,5149		3,8099	11,7000	15,0155	5,0342	0,4878	1,6551	2,5156	0,2347	0,4835	0,4219	2,1134	1,6483	0,9028																																																														
0,0702	0,1270	1,0847		4,8134	0,0054	0,0249	1,1948	27,5410	0,0133	2,0074	0,6698	0,0928	0,7766	3,3565	1,6993	0,0060																																																														
		0,5656		0,7526	9,4036	2,7954	2,6653	2,7283	12,6290	1,7114	1,7472	1,3070	2,0219	1,1947	1,0330	3,3203																																																														
		0,6672		0,5453	0,2897	0,3479	0,5079	1,4677	0,0999	2,5896	0,1631	0,8519		0,2687	0,4560	0,0696																																																														
		0,8748		0,3858	0,4073	0,3104	1,1147	1,2565		2,7382		0,7029		5,4621	0,1717																																																															
		0,4113		0,0524	0,5266	0,4006		1,1724		7,6674		0,4132		4,1831	0,6279																																																															
				0,7244				1,8487				0,4349			0,4208																																																															
				0,0828				2,0936				2,3832			0,3933																																																															
				4,0971				4,1994				0,9038			0,4584																																																															
				0,3013				0,5206							0,0555																																																															
								20,2774																																																																						
								2,8350																																																																						
								1,7378																																																																						
								0,7693																																																																						
								0,6755																																																																						
								1,2552																																																																						
								4,6367																																																																						
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
