[N]	[T]/[D]  pmBUI4	[T]/[D]  pIE321	[T]/[D]  R7K	[T]/[D]  R388																				
11,7	5,55																							
																								
1,17	16,4																							
																								
0,0901	8,94																							
																								
0,00401	1,1																							
																								
0,00077	0,24																							
																								
0,0000314	0,01																							
																								
3,24	4,49																							
																								
3,59	17,74																							
																								
1,56	22,76																							
																								
0,708	20,9																							
																								
0,303	17,39																							
																								
0,065	7,23																							
																								
0,0205	4,03																							
																								
0,00646	1,67																							
																								
0,00529	0,54																							
																								
0,00263	0,44																							
																								
0,000511	0,4																							
																								
8,2		0,5299																						
																								
3,51		0,8936																						
																								
0,378		1,7529																						
																								
0,157		0,2821																						
																								
0,0552		0,3384																						
																								
0,00644		0,1373																						
																								
0,00257		0,1133																						
																								
0,238		0,9508																						
																								
3,29		1,4248																						
																								
1,88		1,918																						
																								
1,31		2,2586																						
																								
1,15		2,4163																						
																								
0,498		1,2027																						
																								
0,183		0,4723																						
																								
0,0728		0,4636																						
																								
0,0484		0,2359																						
																								
0,0228		0,2975																						
																								
0,00939		0,1167																						
																								
0,00402		0,09																						
																								
0,00163		0,0306																						
																								
2			0,1704																					
																								
0,58			0,2466																					
																								
0,323			0,1278																					
																								
0,111			0,1056																					
																								
0,302			0,1132																					
																								
0,855			0,1281																					
																								
1,73			0,4658																					
																								
4,62			0,3561																					
																								
9,68			0,1056																					
																								
2,08			0,1562																					
																								
1,81			0,1047																					
																								
1,59			0,1789																					
																								
0,763			0,0995																					
																								
0,147			0,0359																					
																								
0,0281			0,041																					
																								
0,00996			0,0142																					
																								
0,00208			0,015																					
																								
0,00104			0,0026																					
																								
0,0172			0,0135																					
																								
0,0145			0,0407																					
																								
0,0145			0,0634																					
																								
0,0141			0,0305																					
																								
0,00854			0,0056																					
																								
0,00744			0,0163																					
																								
0,00283			0,0123																					
																								
0,00201			0,0038																					
																								
0,00124			0,0063																					
																								
0,052			0,0315																					
																								
0,0482			0,0548																					
																								
0,0406			0,0518																					
																								
4,11				2,8814																				
																								
4,46				1,28																				
																								
11,9				2,4444																				
																								
4,59				2,2557																				
																								
2,86				3,1296																				
																								
1,08				6,0625																				
																								
0,418				4,6207																				
																								
0,458				4,0725																				
																								
0,0369				0,6116																				
																								
0,0863				1,2663																				
																								
0,455				1,7411																				
																								
0,000752				0,0766																				
																								
0,00679				0,1867																				
																								
1,76				3,4778																				
																								
0,0948				2,1106																				
																								
0,00622				0,1408																				
																								
0,000745				0,0945																				
																								
0,0000278				0,0076																				
																								
0,12				1,9577																				
																								
0,046				4,1026																				
																								
0,0104				0,7246																				
																								
0,00186				0,1351																				
																								
0,699				3,8103																				
																								
0,157				1,88																				
																								
0,0248				0,5268																				
																								
0,00172				0,3756																				
																								
0,0000238				0,0078																				
																								
																								
0,0104	3,1																							
																								
0,0212	3,76																							
																								
0,00912	1,22																							
																								
0,0933	7,39																							
																								
0,054	5,69																							
																								
0,0426	12,26																							
																								
0,0237	2,51																							
																								
0,017	3,39																							
																								
0,0297	2,41																							
