[N]	[Tc]/[D] (pOX38)																																																		
36,4	2,9642																																																		
																																																			
16,6	3,8559																																																		
																																																			
6,32	2,9039																																																		
																																																			
1,72	6,505																																																		
																																																			
0,719	8,244																																																		
																																																			
0,286	2,9744																																																		
																																																			
0,0728	4,0326																																																		
																																																			
0,0412	1,4959																																																		
																																																			
0,232	2,3871																																																		
																																																			
0,0743	1,9291																																																		
																																																			
0,0552	1,6885																																																		
																																																			
0,0121	1,7155																																																		
																																																			
0,0085	0,4614																																																		
																																																			
0,00634	0,6351																																																		
																																																			
0,0017	0,0928																																																		
																																																			
0,00124	0,0647																																																		
																																																			
12,2	1,5432																																																		
																																																			
4,63	7,6753																																																		
																																																			
2,73	4,1324																																																		
																																																			
1,09	7,9592																																																		
																																																			
0,84	7,6667																																																		
																																																			
0,368	3,2424																																																		
																																																			
0,0829	2,5222																																																		
																																																			
0,161	2,5082																																																		
																																																			
0,00871	0,6825																																																		
																																																			
0,0239	1,087																																																		
																																																			
0,0474	2,1863																																																		
																																																			
0,00327	0,3768																																																		
																																																			
0,00153	0,2309																																																		
																																																			
0,000653	0,076																																																		
