[N]	[Tc]/[D] (pOX38)																																																		
8,94	0,32																																																		
																																																			
2,89	1,64																																																		
																																																			
0,542	2,03																																																		
																																																			
0,138	0,87																																																		
																																																			
0,0433	0,79																																																		
																																																			
0,00449	0,29																																																		
																																																			
0,000868	0,05																																																		
																																																			
0,305	1,21																																																		
																																																			
5,33	0,89																																																		
																																																			
3,24	0,84																																																		
																																																			
1,96	1,21																																																		
																																																			
0,774	0,64																																																		
																																																			
0,454	0,63																																																		
																																																			
0,201	0,51																																																		
																																																			
0,0639	0,32																																																		
																																																			
0,0259	0,49																																																		
																																																			
0,00959	0,2																																																		
																																																			
0,0081	0,25																																																		
																																																			
0,00226	0,08																																																		
																																																			
0,000805	0,02																																																		
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
